candidate_id,gender,age,education_level,years_experience,skills_score,hired
1,Male,21,Tier2,7,78,1
2,Female,26,Tier2,2,45,0
3,Female,38,Tier2,7,56,1
4,Male,28,Tier3,4,98,0
5,Male,27,Tier2,0,64,1
6,Male,21,Tier1,6,96,1
7,Male,36,Tier3,4,67,0
8,Female,32,Tier3,5,41,0
9,Female,26,Tier3,5,74,1
10,Female,22,Tier3,7,76,1
11,Male,34,Tier2,8,44,0
12,Female,24,Tier2,1,40,0
13,Female,21,Tier3,8,79,0
14,Male,38,Tier3,10,51,0
15,Male,33,Tier1,9,95,1
16,Male,22,Tier1,8,75,1
17,Male,29,Tier2,9,84,1
18,Male,22,Tier3,9,62,1
19,Male,29,Tier3,6,86,1
20,Male,21,Tier1,0,70,0
21,Female,31,Tier2,6,50,0
22,Male,23,Tier2,9,49,0
23,Male,24,Tier3,4,42,0
24,Male,38,Tier3,5,93,1
25,Male,26,Tier3,9,53,0
26,Female,23,Tier2,6,55,0
27,Male,31,Tier2,4,49,1
28,Male,35,Tier1,6,68,1
29,Male,25,Tier1,8,49,0
30,Male,30,Tier3,2,51,0
31,Female,32,Tier3,7,69,1
32,Male,35,Tier3,1,80,1
33,Male,37,Tier3,10,40,1
34,Female,30,Tier2,6,44,0
35,Female,26,Tier3,1,59,1
36,Female,38,Tier3,3,47,1
37,Male,33,Tier3,6,82,1
38,Male,23,Tier1,2,51,0
39,Female,30,Tier2,1,40,0
40,Male,34,Tier1,10,96,1
41,Male,26,Tier3,9,93,1
42,Male,23,Tier2,6,59,1
43,Male,36,Tier1,0,67,1
44,Female,27,Tier2,7,96,0
45,Male,34,Tier2,2,82,1
46,Female,29,Tier2,1,76,0
47,Male,35,Tier1,2,86,1
48,Male,23,Tier2,4,76,1
49,Male,22,Tier2,10,51,1
50,Male,22,Tier3,7,76,0
51,Female,23,Tier2,9,88,0
52,Female,38,Tier3,6,88,1
53,Female,34,Tier2,6,95,0
54,Female,38,Tier2,6,83,1
55,Male,30,Tier3,7,95,0
56,Female,22,Tier2,0,67,1
57,Male,21,Tier1,3,86,1
58,Male,24,Tier1,5,54,1
59,Male,34,Tier3,8,45,1
60,Male,21,Tier2,1,83,1
61,Male,34,Tier3,0,98,0
62,Male,36,Tier1,9,59,1
63,Female,34,Tier1,1,89,1
64,Male,23,Tier1,6,53,1
65,Male,23,Tier2,2,41,0
66,Male,29,Tier2,9,48,1
67,Male,26,Tier2,1,76,1
