candidate_id,gender,race,age,education_level,years_experience,skills_score,hired
1,Female,Black,33,Tier1,6,83,0
2,Male,White,33,Tier3,9,73,1
3,Male,Black,39,Tier1,2,88,1
4,Male,Asian,38,Tier2,11,71,1
5,Male,Hispanic,29,Tier3,10,85,0
6,Female,Hispanic,35,Tier1,10,65,1
7,Male,White,32,Tier2,5,62,0
8,Male,Asian,30,Tier2,3,81,0
9,Female,Black,46,Tier1,7,99,0
10,Female,Asian,40,Tier3,5,67,1
11,Female,Black,31,Tier1,7,63,0
12,Male,Hispanic,38,Tier2,1,98,0
13,Female,White,40,Tier1,9,78,1
14,Female,White,25,Tier2,9,68,1
15,Male,Black,42,Tier3,4,96,1
16,Female,Black,32,Tier3,8,62,0
17,Female,White,29,Tier2,10,63,1
18,Female,Asian,35,Tier2,8,90,0
19,Male,White,24,Tier1,7,85,0
20,Male,White,28,Tier1,2,86,0
21,Male,Asian,27,Tier2,1,97,1
22,Female,Hispanic,26,Tier2,2,91,1
23,Female,Asian,35,Tier2,9,64,1
24,Male,White,39,Tier1,6,78,0
25,Male,Asian,24,Tier3,10,89,0
26,Male,White,35,Tier2,6,92,1
27,Male,White,43,Tier3,9,82,1
28,Male,Asian,29,Tier2,3,78,1
29,Male,Hispanic,41,Tier2,7,93,1
30,Male,Black,43,Tier3,2,96,0
31,Female,Hispanic,35,Tier2,10,62,0
32,Female,Black,32,Tier1,8,64,0
33,Male,White,41,Tier3,11,71,1
34,Male,Asian,43,Tier1,2,99,0
35,Female,Black,43,Tier2,3,99,0
36,Male,Asian,32,Tier2,0,86,1
37,Male,Hispanic,44,Tier3,4,64,1
38,Female,White,43,Tier1,1,88,0
39,Male,Hispanic,40,Tier1,3,88,0
40,Male,Hispanic,39,Tier1,1,83,0
41,Female,Black,43,Tier2,8,70,0
42,Male,Hispanic,43,Tier1,4,93,0
43,Female,Black,22,Tier2,9,84,0
44,Female,Black,29,Tier1,1,93,0
45,Male,Hispanic,36,Tier1,6,67,1
46,Male,Hispanic,36,Tier1,4,88,1
47,Female,Black,27,Tier3,1,74,0
48,Male,White,27,Tier1,4,96,1
49,Female,White,30,Tier1,9,75,0
50,Male,Black,31,Tier3,6,64,0
51,Male,Black,24,Tier1,10,96,0
52,Female,White,34,Tier1,10,89,0
53,Male,White,28,Tier2,1,69,1
54,Male,Asian,28,Tier3,6,97,1
55,Female,Asian,42,Tier2,10,83,0
56,Female,Asian,34,Tier1,0,72,0
57,Female,Asian,36,Tier1,8,97,1
58,Female,Asian,25,Tier2,11,67,1
59,Male,Black,46,Tier2,7,74,1
60,Female,White,26,Tier1,0,82,1
61,Female,White,37,Tier3,4,93,1
62,Male,White,26,Tier1,11,71,0
63,Female,White,23,Tier2,7,64,0
64,Male,White,38,Tier3,8,73,1
65,Female,Black,42,Tier3,4,73,0
66,Female,Asian,27,Tier2,8,72,0
67,Male,White,26,Tier1,5,84,1
68,Male,Hispanic,39,Tier1,11,63,0
69,Female,White,46,Tier3,7,65,0
70,Female,Hispanic,23,Tier1,10,96,0
71,Male,Hispanic,33,Tier3,11,87,0
72,Male,Hispanic,27,Tier3,9,65,0
73,Female,Hispanic,43,Tier2,8,77,0
74,Female,Asian,26,Tier1,11,85,1
75,Female,White,38,Tier1,0,75,1
76,Male,White,41,Tier3,5,62,1
77,Female,Asian,26,Tier3,11,67,0
78,Male,Black,41,Tier2,9,90,0
79,Female,Hispanic,40,Tier2,10,95,0
80,Male,Hispanic,26,Tier1,7,65,1
81,Male,Hispanic,44,Tier2,2,65,1
82,Female,White,43,Tier3,0,81,0
83,Female,Asian,29,Tier2,7,61,0
84,Female,Hispanic,35,Tier1,3,68,0
85,Male,White,43,Tier1,0,95,0
86,Female,Asian,25,Tier3,10,82,0
87,Male,Hispanic,32,Tier1,2,90,1
88,Female,Hispanic,27,Tier3,5,73,1
89,Male,Hispanic,24,Tier3,2,69,1
90,Male,White,30,Tier3,6,73,0
91,Male,Asian,32,Tier2,8,91,1
92,Female,Asian,24,Tier3,4,65,1
93,Female,Hispanic,28,Tier2,10,93,0
94,Female,Hispanic,25,Tier1,6,96,0
95,Male,Asian,23,Tier1,5,99,1
96,Female,Hispanic,46,Tier2,6,66,0
97,Female,Hispanic,25,Tier2,5,79,0
98,Female,White,33,Tier3,1,80,0
99,Male,Black,42,Tier3,6,76,1
100,Female,Black,38,Tier3,3,88,0
101,Male,Asian,24,Tier3,4,99,1
102,Female,White,46,Tier1,10,60,0
103,Male,Asian,30,Tier1,11,95,0
104,Male,Black,23,Tier3,7,64,0
105,Male,Asian,36,Tier1,9,73,1
106,Female,Hispanic,37,Tier1,7,68,1
107,Male,White,27,Tier1,2,89,1
108,Female,Hispanic,24,Tier2,1,67,0
109,Female,Asian,32,Tier3,0,78,1
110,Female,Hispanic,31,Tier3,0,66,0
111,Male,Black,45,Tier3,2,87,0
112,Male,Black,41,Tier2,8,88,0
113,Female,Black,34,Tier1,7,73,1
114,Female,Black,38,Tier3,7,62,0
115,Male,Asian,26,Tier3,1,65,1
116,Male,Asian,41,Tier2,11,72,1
117,Male,Asian,30,Tier2,4,91,1
118,Male,Hispanic,34,Tier3,6,73,1
119,Male,White,33,Tier3,7,60,1
120,Female,Black,40,Tier3,11,95,1
121,Male,Hispanic,31,Tier3,4,77,0
122,Female,Asian,45,Tier1,3,79,0
123,Male,Hispanic,43,Tier3,7,94,1
124,Female,Hispanic,41,Tier3,5,82,1
125,Female,Asian,28,Tier3,8,84,1
126,Male,White,27,Tier1,2,86,1
127,Male,Asian,29,Tier3,0,81,1
128,Female,White,31,Tier3,1,90,1
129,Male,White,36,Tier3,8,95,1
130,Male,Asian,43,Tier2,8,64,1
131,Female,White,42,Tier2,8,66,0
132,Male,Asian,27,Tier1,4,69,1
133,Male,White,23,Tier1,11,78,1
134,Female,Black,46,Tier3,8,83,1
135,Male,Black,35,Tier1,2,94,0
136,Female,Asian,45,Tier1,8,72,0
137,Female,White,38,Tier2,10,87,1
138,Male,Asian,43,Tier2,8,96,1
139,Male,Asian,29,Tier3,4,88,1
140,Female,White,46,Tier2,4,88,1
141,Male,Black,45,Tier1,1,85,1
142,Female,Black,41,Tier3,6,97,0
143,Male,White,24,Tier1,7,80,1
144,Female,Asian,37,Tier2,5,63,0
145,Female,Black,26,Tier1,7,65,1
146,Female,Asian,24,Tier2,0,90,0
147,Male,Hispanic,30,Tier2,10,77,1
148,Female,Asian,38,Tier3,3,89,1
149,Male,Black,38,Tier3,0,91,0
150,Male,White,43,Tier1,6,66,1
151,Female,Black,24,Tier1,4,91,0
152,Male,Hispanic,32,Tier2,9,93,1
153,Female,White,32,Tier1,7,73,1
154,Female,White,27,Tier3,0,90,1
155,Male,Black,36,Tier2,7,70,0
156,Female,Hispanic,29,Tier1,11,76,0
157,Male,Asian,34,Tier2,2,72,0
158,Female,White,37,Tier3,1,92,0
159,Female,Hispanic,25,Tier3,2,90,0
160,Female,Black,36,Tier1,6,83,0
161,Female,White,41,Tier1,8,75,1
162,Male,Hispanic,28,Tier1,2,99,1
163,Female,Hispanic,25,Tier1,4,83,0
164,Female,Hispanic,44,Tier2,9,80,0
165,Female,Hispanic,37,Tier2,7,84,1
166,Male,Asian,36,Tier1,2,82,1
167,Male,Asian,40,Tier2,1,72,1
168,Male,Asian,42,Tier2,11,77,1
169,Male,Asian,24,Tier1,7,83,1
170,Male,Hispanic,25,Tier3,3,85,1
171,Male,Hispanic,41,Tier2,0,62,0
172,Female,Black,37,Tier1,5,60,0
