applicant_id,gender,race,age,income,credit_score,loan_amount,loan_approved
1,Female,White,43,44311,646,210791,1
2,Female,Black,25,47794,610,296032,0
3,Female,Black,27,74535,640,212195,1
4,Female,Hispanic,43,97595,636,333325,0
5,Male,Hispanic,24,106279,592,107759,1
6,Male,Black,31,98456,764,121746,0
7,Female,Asian,25,31570,702,404056,0
8,Male,Hispanic,56,108550,767,199897,1
9,Male,White,52,41815,722,427886,1
10,Male,Asian,28,60017,593,158932,1
11,Male,White,41,52368,773,137841,0
12,Female,Black,24,46211,647,408414,1
13,Female,White,52,37707,586,125104,1
14,Female,Black,33,40269,667,197391,0
15,Female,White,39,56063,683,356042,0
16,Female,Black,29,36966,735,83111,1
17,Male,Asian,25,71147,698,116098,0
18,Female,Hispanic,34,97467,650,404932,1
19,Male,Hispanic,58,47728,744,287294,1
20,Male,White,41,105632,704,99747,1
21,Male,Black,23,63713,729,152396,1
22,Female,Black,46,109218,736,87917,1
23,Female,Hispanic,43,96771,765,445357,0
24,Male,Black,35,30009,598,53915,0
25,Male,White,37,79316,658,321858,0
26,Female,Black,61,91321,715,410482,1
27,Male,Black,53,42937,683,129732,0
28,Male,White,24,94687,721,410812,1
29,Male,Black,61,73318,706,96452,1
30,Female,Asian,55,105830,621,280345,0
31,Female,White,58,74895,666,245416,1
32,Female,Black,43,55842,705,133253,0
33,Male,Black,25,100958,581,98345,1
34,Male,Hispanic,30,31630,680,74273,0
35,Male,Black,52,89122,763,118402,0
36,Male,Asian,54,96810,631,64091,1
37,Female,Hispanic,23,89437,737,359378,0
38,Female,Asian,36,87476,702,203398,1
39,Female,Hispanic,49,61287,621,224342,1
40,Male,Asian,23,85665,738,240206,1
41,Male,Asian,48,50863,594,348055,1
42,Male,White,52,105295,751,351802,1
43,Female,White,34,106490,694,74278,0
44,Male,Hispanic,38,86498,609,445583,1
45,Male,Hispanic,25,70861,597,196402,1
46,Female,Hispanic,23,82859,701,307279,0
47,Female,Black,39,55418,702,132235,0
48,Male,Asian,48,101458,616,372384,1
49,Female,Black,24,108233,705,64991,0
50,Male,White,35,75740,653,87442,1
51,Male,Black,49,31824,746,283453,0
52,Male,Hispanic,41,83884,687,171020,0
53,Female,Hispanic,31,70747,763,412716,1
54,Male,Hispanic,59,80746,662,369228,1
55,Male,Hispanic,24,40130,634,241200,0
